trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",35,0,-150.28108961978802,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-133.05781533616948,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-56.260821918161525,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-138.19162063352883,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-106.57713316675515,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-19.88495328255797,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-85.97574111807232,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-33.23786675412958,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-126.41051378038684,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-71.07524299517472,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,9,-47.63218157421225,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,7,-73.51354890044908,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-103.33043814515517,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,1,-109.11056208208669,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-78.17602046568884,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-82.03507027973353,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,10,-66.84800905283534,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,11,-61.68291264929472,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-87.8648616288743,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-146.2141975416537,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-93.86284510398826,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-53.76966503066149,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-91.05033403017799,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-84.56034370123685,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-145.06015942401567,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-111.69200513012373,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,3,-162.87381318845067,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 3}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,11,-44.177710408846615,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-135.08183434677355,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-45.47757563375377,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-122.32989161744877,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,14,-5.3288792203790685,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-239.744348339458,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-154.63221019984775,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",35,0,-218.24924464698063,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,9,-122.834694491108,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 3}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-62.98580569241394,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,2,-216.28898958694367,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 3}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,13,-56.53819152278145,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-171.2001598684133,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-83.78232010043058,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-108.52477696139843,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-138.77280512499004,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-117.84680826566765,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,12,0.4573020649725894,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,0,-159.42894158468516,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,0,-50.751718935913594,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-36.84051773438585,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,10,-104.14086904576268,"{0: 7, 1: 1, 2: 3, 3: 4, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",30,0,-247.25686441568135,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
