trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,11,-31.727701142066714,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,3,-103.55478710394246,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-214.0235817697904,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-184.04191686278955,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-106.07619765410058,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-223.46632625308808,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-151.40920133636794,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-126.69012903100733,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,3,-96.02390532915521,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,19,-5.6803654987522325,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-105.71944828541652,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-167.99930414651914,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-91.7334172566358,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-115.69327645946088,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,-77.90529721239342,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-121.33573853313702,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-74.06304182916476,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-124.04967985629709,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-119.33451007813022,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-123.19965699573565,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-85.76816156304596,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-115.72782048071574,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-86.93018351081577,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,4,-16.934212457187254,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-212.9706568818033,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",25,0,-199.52422975453743,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-224.77179918224536,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",25,3,-30.071196191273906,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-185.0502780002002,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-109.11253020465587,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
